file,emotion,category,source
01_Friendly_Approved_Style_Base.png,Friendly,Approved style base,аналитика_для_продавцов_в_складе.png
02_Happy_Good_News.png,Happy,Good news / growth,хорошие_новости_рост_и_успех.png
03_Alert_Urgent_Important.png,Alert,Urgent / important,срочное_обновление_для_продавцов.png
04_Thoughtful_Analytics.png,Thoughtful,Analytics,аналитика_для_продавцов_в_офисе.png
05_Serious_Law_Taxes.png,Serious,Law / taxes,закон_и_налоги_для_продавцов.png
06_Confident_Marking_Compliance.png,Confident,Marking / compliance,маркировка_и_упаковка_для_продавцов.png
07_Optimistic_Money_Profit.png,Optimistic,Money / profit,деньги_и_прибыль_для_продавцов.png
08_Fresh_Morning_Digest.png,Fresh,Morning digest,утренний_дайджест_для_продавцов.png
09_Calm_Evening_Digest.png,Calm,Evening digest,вечерний_дайджест_для_селлеров.png
10_Curious_Interesting_News.png,Curious,Interesting news,интерактивный_мир_marketplace_с_инсайдами.png
11_Energetic_Audio_Digest.png,Energetic,Audio digest,подкаст_о_новостях_для_продавцов.png
