category,product_type,schemes,scheme_count,missing_schemes,unusual_schemes,min_fee,max_fee,spread,source_file,valid_from,flags
Авто / Спецтехника / Строительная техника / Автобетоносмесители и бетононасосы,Автобетоносмесители и бетононасосы,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника / Автокраны,Автокраны,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Транспорт / Автомобили,Автомобили,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Ассенизационные машины,Ассенизационные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника / Бульдозеры,Бульдозеры,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Вакуумные машины,Вакуумные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника / Виброкатки,Виброкатки,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника / Грейдеры,Грейдеры,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Измельчители пней,Измельчители пней,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Илососные машины,Илососные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Каналоочистительные машины,Каналоочистительные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Мусоровозы,Мусоровозы,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Погрузчики,Погрузчики,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Поливомоечные машины,Поливомоечные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Транспорт / Прицепы / Прицепы автомобильные,Прицепы автомобильные,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Снегоуборочные машины,Снегоуборочные машины,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника,Строительная техника,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Коммунальная техника / Траншеекопатели,Траншеекопатели,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Спецтехника / Строительная техника / Экскаваторы,Экскаваторы,"DBS=0.5%, EXPRESS=0.5%, FBS=0.5%, FBY=0.5%",4,,,0.5,0.5,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Строительство и ремонт / Материалы / Строительные материалы / Строительные смеси / Цемент и основы смесей / Пескобетон,Пескобетон,"DBS=4.5%, EXPRESS=2.5%, FBS=9.5%, FBY=2.5%",4,,,2.5,9.5,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Аптека / Лекарственные препараты / Анестезия, растворители и контрастные вещества","Анестезия, растворители и контрастные вещества","DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
