category,product_type,schemes,scheme_count,missing_schemes,unusual_schemes,min_fee,max_fee,spread,source_file,valid_from,flags
Товары для дома / Бытовая химия / Чистящие и моющие средства / Специальные чистящие средства / Прочие специальные чистящие средства,Прочие специальные чистящие средства,"DBS=68%, EXPRESS=61%, FBS=68%, FBY=61%",4,,,61.0,68.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Товары для дома / Бытовая химия / Чистящие и моющие средства / Специальные чистящие средства / Средства для промывки теплообменников,Средства для промывки теплообменников,"DBS=64%, EXPRESS=57%, FBS=64%, FBY=57%",4,,,57.0,64.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Строительство и ремонт / Материалы / Строительные материалы / Изоляционные материалы / Теплоизоляционные материалы / Вспененный полиэтилен / Утеплители для тёплого пола из вспененного полиэтилена,Утеплители для тёплого пола из вспененного полиэтилена,"DBS=63.5%, EXPRESS=56.5%, FBS=63.5%, FBY=56.5%",4,,,56.5,63.5,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Товары для дома / Бытовая химия / Чистящие и моющие средства / Специальные чистящие средства / Средства для очистки рук от химии,Средства для очистки рук от химии,"DBS=62%, EXPRESS=55%, FBS=62%, FBY=55%",4,,,55.0,62.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары,Детские товары,"DBS=61%, EXPRESS=54%, FBS=61%, FBY=54%",4,,,54.0,61.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Товары для мам и малышей / Подгузники и приучение к горшку / Подгузники,Подгузники,"DBS=61%, EXPRESS=54%, FBS=61%, FBY=54%",4,,,54.0,61.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Товары для мам и малышей / Подгузники и приучение к горшку,Подгузники и приучение к горшку,"DBS=61%, EXPRESS=54%, FBS=61%, FBY=54%",4,,,54.0,61.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Товары для мам и малышей / Подгузники и приучение к горшку / Подгузники / Подгузники многоразовые,Подгузники многоразовые,"DBS=61%, EXPRESS=54%, FBS=61%, FBY=54%",4,,,54.0,61.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Товары для мам и малышей,Товары для мам и малышей,"DBS=61%, EXPRESS=54%, FBS=61%, FBY=54%",4,,,54.0,61.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
"Детские товары / Товары для мам и малышей / Подгузники и приучение к горшку / Пеленки, клеенки","Пеленки, клеенки","DBS=60%, EXPRESS=53%, FBS=60%, FBY=53%",4,,,53.0,60.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
"Детские товары / Товары для мам и малышей / Подгузники и приучение к горшку / Пеленки, клеенки / Пелёнки одноразовые",Пелёнки одноразовые,"DBS=60%, EXPRESS=53%, FBS=60%, FBY=53%",4,,,53.0,60.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
"Строительство и ремонт / Материалы / Строительные материалы / Изоляционные материалы / Теплоизоляционные материалы / Пенополистирол, пенопласт, PIR-плиты / Пенопласт",Пенопласт,"DBS=59.5%, EXPRESS=52.5%, FBS=59.5%, FBY=52.5%",4,,,52.5,59.5,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Детский спорт / Активный отдых,Активный отдых,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Спорт и отдых / Тренажеры и фитнес / Гимнастика / Гимнастические снаряды и спортивные комплексы / Барьеры спортивные,Барьеры спортивные,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Детский спорт / Активный отдых / Игровые домики и палатки / Вигвамы детские,Вигвамы детские,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Спорт и отдых / Тренажеры и фитнес / Гимнастика,Гимнастика,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Спорт и отдых / Тренажеры и фитнес / Гимнастика / Гимнастические снаряды и спортивные комплексы,Гимнастические снаряды и спортивные комплексы,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Товары для дома / Текстиль / Декоративные подушки,Декоративные подушки,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Детский спорт,Детский спорт,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Детские товары / Детский спорт / Активный отдых / Игровые домики и палатки,Игровые домики и палатки,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Товары для дома / Текстиль / Декоративные подушки / Подушки для стула и скамьи,Подушки для стула и скамьи,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
Спорт и отдых,Спорт и отдых,"DBS=59%, EXPRESS=52%, FBS=59%, FBY=52%",4,,,52.0,59.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,HIGH_FEE_40_OR_MORE
