category,product_type,schemes,scheme_count,missing_schemes,unusual_schemes,min_fee,max_fee,spread,source_file,valid_from,flags
"Продукты / Бакалейные товары / Орехи, семена, сухофрукты / Сухофрукты / Сухофрукты / Компотные смеси",Компотные смеси,"DBS=5%, EXPRESS=35%, FBS=42%, FBY=35%",4,,,5.0,42.0,37.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
"Продукты / Бакалейные товары / Орехи, семена, сухофрукты / Сухофрукты / Сухофрукты / Ягоды сушёные",Ягоды сушёные,"DBS=5%, EXPRESS=35%, FBS=42%, FBY=35%",4,,,5.0,42.0,37.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Диетическое и лечебное питание / Продукты на растительной основе,Продукты на растительной основе,"DBS=5%, EXPRESS=34.5%, FBS=41.5%, FBY=34.5%",4,,,5.0,41.5,36.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Диетическое и лечебное питание / Продукты на растительной основе / Растительные молочные продукты,Растительные молочные продукты,"DBS=5%, EXPRESS=34.5%, FBS=41.5%, FBY=34.5%",4,,,5.0,41.5,36.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Кондитерские изделия / Восточные сладости,Восточные сладости,"DBS=5%, EXPRESS=34%, FBS=41%, FBY=34%",4,,,5.0,41.0,36.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Кондитерские изделия / Жевательная резинка,Жевательная резинка,"DBS=5%, EXPRESS=34%, FBS=41%, FBY=34%",4,,,5.0,41.0,36.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Бакалейные товары / Ингредиенты для блюд этнической кухни / Ингредиенты для этнической кухни,Ингредиенты для этнической кухни,"DBS=5%, EXPRESS=34%, FBS=41%, FBY=34%",4,,,5.0,41.0,36.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
Продукты / Диетическое и лечебное питание / Продукты на растительной основе / Растительные мясные продукты,Растительные мясные продукты,"DBS=5%, EXPRESS=34%, FBS=41%, FBY=34%",4,,,5.0,41.0,36.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, HIGH_FEE_40_OR_MORE, LARGE_SPREAD_20_OR_MORE"
"Строительство и ремонт / Материалы / Строительные материалы / Металлопрокат / Столбы, профильные трубы / Трубы профильные",Трубы профильные,"DBS=6%, EXPRESS=30.5%, FBS=37.5%, FBY=30.5%",4,,,6.0,37.5,31.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LARGE_SPREAD_20_OR_MORE
Продукты / Кондитерские изделия / Мучные кондитерские изделия / Кексы и рулеты,Кексы и рулеты,"DBS=5%, EXPRESS=27%, FBS=34%, FBY=27%",4,,,5.0,34.0,29.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Кондитерские изделия / Мучные кондитерские изделия / Кексы и рулеты / Рулеты,Рулеты,"DBS=5%, EXPRESS=27%, FBS=34%, FBY=27%",4,,,5.0,34.0,29.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
"Продукты / Кондитерские изделия / Мучные кондитерские изделия / Сухари, баранки, сушки / Баранки",Баранки,"DBS=5%, EXPRESS=25%, FBS=32%, FBY=25%",4,,,5.0,32.0,27.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
"Продукты / Молочная гастрономия / Питьевые йогурты, молочные коктейли / Сывороточные напитки",Сывороточные напитки,"DBS=5%, EXPRESS=24%, FBS=31%, FBY=24%",4,,,5.0,31.0,26.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Замороженные продукты / Замороженные блюда и полуфабрикаты / Готовые завтраки замороженные,Готовые завтраки замороженные,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
"Продукты / Замороженные продукты / Овощи, фрукты, грибы замороженные / Грибы",Грибы,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Замороженные продукты / Мороженое / Десерты замороженные,Десерты замороженные,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Кулинария / Холодные блюда и закуски / Закуски из рыбы и морепродуктов охлажденные,Закуски из рыбы и морепродуктов охлажденные,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Замороженные продукты / Замороженные блюда и полуфабрикаты,Замороженные блюда и полуфабрикаты,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
Продукты / Замороженные продукты,Замороженные продукты,"DBS=5%, EXPRESS=23.5%, FBS=30.5%, FBY=23.5%",4,,,5.0,30.5,25.5,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,"LOW_FEE_5_OR_LESS, LARGE_SPREAD_20_OR_MORE"
